Economy,Year,Economy Code,"Population, female (% of total population)"
Afghanistan,2024,AFG,49.510
Albania,2024,ALB,50.568
Algeria,2024,DZA,49.002
American Samoa,2024,ASM,49.531
Andorra,2024,AND,48.884
Angola,2024,AGO,50.516
Antigua and Barbuda,2024,ATG,52.403
Argentina,2024,ARG,50.366
Armenia,2024,ARM,53.569
Aruba,2024,ABW,52.761
Australia,2024,AUS,50.382
Austria,2024,AUT,50.765
Azerbaijan,2024,AZE,50.982
"Bahamas, The",2024,BHS,52.254
Bahrain,2024,BHR,37.959
Bangladesh,2024,BGD,50.828
Barbados,2024,BRB,52.057
Belarus,2024,BLR,53.400
Belgium,2024,BEL,50.689
Belize,2024,BLZ,49.543
Benin,2024,BEN,49.853
Bermuda,2024,BMU,51.081
Bhutan,2024,BTN,46.553
Bolivia,2024,BOL,49.899
Bosnia and Herzegovina,2024,BIH,52.412
Botswana,2024,BWA,50.159
Brazil,2024,BRA,50.804
British Virgin Islands,2024,VGB,52.644
Brunei Darussalam,2024,BRN,46.901
Bulgaria,2024,BGR,51.610
Burkina Faso,2024,BFA,50.188
Burundi,2024,BDI,50.322
Cabo Verde,2024,CPV,49.141
Cambodia,2024,KHM,51.000
Cameroon,2024,CMR,50.163
Canada,2024,CAN,50.343
Cayman Islands,2024,CYM,49.803
Central African Republic,2024,CAF,52.014
Chad,2024,TCD,49.843
Channel Islands,2024,CHI,50.623
Chile,2024,CHL,50.298
China,2024,CHN,49.058
Colombia,2024,COL,50.658
Comoros,2024,COM,49.711
"Congo, Dem. Rep.",2024,COD,50.386
"Congo, Rep.",2024,COG,50.006
Costa Rica,2024,CRI,50.589
Cote d'Ivoire,2024,CIV,49.125
Croatia,2024,HRV,51.761
Cuba,2024,CUB,50.665
Curacao,2024,CUW,52.406
Cyprus,2024,CYP,49.624
Czechia,2024,CZE,50.688
Denmark,2024,DNK,50.295
Djibouti,2024,DJI,50.432
Dominica,2024,DMA,50.001
Dominican Republic,2024,DOM,50.285
Ecuador,2024,ECU,50.147
"Egypt, Arab Rep.",2024,EGY,49.510
El Salvador,2024,SLV,52.499
Equatorial Guinea,2024,GNQ,47.279
Eritrea,2024,ERI,50.635
Estonia,2024,EST,52.453
Eswatini,2024,SWZ,50.903
Ethiopia,2024,ETH,49.896
Faroe Islands,2024,FRO,48.330
Fiji,2024,FJI,50.368
Finland,2024,FIN,50.573
France,2024,FRA,51.522
French Polynesia,2024,PYF,49.423
Gabon,2024,GAB,49.241
"Gambia, The",2024,GMB,50.205
Georgia,2024,GEO,53.386
Germany,2024,DEU,50.619
Ghana,2024,GHA,50.057
Gibraltar,2024,GIB,50.228
Greece,2024,GRC,51.561
Greenland,2024,GRL,47.421
Grenada,2024,GRD,49.871
Guam,2024,GUM,49.345
Guatemala,2024,GTM,50.402
Guinea,2024,GIN,50.516
Guinea-Bissau,2024,GNB,50.575
Guyana,2024,GUY,51.319
Haiti,2024,HTI,50.517
Honduras,2024,HND,49.657
"Hong Kong SAR, China",2024,HKG,54.952
Hungary,2024,HUN,51.982
Iceland,2024,ISL,48.795
India,2024,IND,48.425
Indonesia,2024,IDN,49.766
"Iran, Islamic Rep.",2024,IRN,49.183
Iraq,2024,IRQ,49.804
Ireland,2024,IRL,50.498
Isle of Man,2024,IMN,50.493
Israel,2024,ISR,50.209
Italy,2024,ITA,51.125
Jamaica,2024,JAM,50.550
Japan,2024,JPN,51.216
Jordan,2024,JOR,48.434
Kazakhstan,2024,KAZ,51.294
Kenya,2024,KEN,50.284
Kiribati,2024,KIR,51.472
"Korea, Dem. People's Rep.",2024,PRK,50.531
"Korea, Rep.",2024,KOR,50.086
Kosovo,2024,XKX,50.814
Kuwait,2024,KWT,38.887
Kyrgyz Republic,2024,KGZ,50.566
Lao PDR,2024,LAO,49.754
Latvia,2024,LVA,53.640
Lebanon,2024,LBN,51.367
Lesotho,2024,LSO,51.276
Liberia,2024,LBR,50.080
Libya,2024,LBY,49.154
Liechtenstein,2024,LIE,50.316
Lithuania,2024,LTU,52.800
Luxembourg,2024,LUX,49.667
"Macao SAR, China",2024,MAC,53.949
Madagascar,2024,MDG,49.843
Malawi,2024,MWI,51.203
Malaysia,2024,MYS,47.641
Maldives,2024,MDV,38.082
Mali,2024,MLI,49.545
Malta,2024,MLT,48.101
Marshall Islands,2024,MHL,48.767
Mauritania,2024,MRT,50.947
Mauritius,2024,MUS,50.084
Mexico,2024,MEX,51.506
"Micronesia, Fed. Sts.",2024,FSM,50.321
Moldova,2024,MDA,53.988
Monaco,2024,MCO,51.076
Mongolia,2024,MNG,50.143
Montenegro,2024,MNE,51.870
Morocco,2024,MAR,49.576
Mozambique,2024,MOZ,51.484
Myanmar,2024,MMR,50.222
Namibia,2024,NAM,51.164
Nauru,2024,NRU,49.088
Nepal,2024,NPL,52.109
Netherlands,2024,NLD,50.320
New Caledonia,2024,NCL,50.672
New Zealand,2024,NZL,50.314
Nicaragua,2024,NIC,50.811
Niger,2024,NER,49.226
Nigeria,2024,NGA,49.427
North Macedonia,2024,MKD,51.352
Northern Mariana Islands,2024,MNP,47.201
Norway,2024,NOR,49.604
Oman,2024,OMN,37.787
Pakistan,2024,PAK,49.284
Palau,2024,PLW,46.140
Panama,2024,PAN,49.995
Papua New Guinea,2024,PNG,48.573
Paraguay,2024,PRY,49.862
Peru,2024,PER,50.267
Philippines,2024,PHL,50.119
Poland,2024,POL,51.551
Portugal,2024,PRT,52.366
Puerto Rico,2024,PRI,52.916
Qatar,2024,QAT,28.719
Romania,2024,ROU,51.566
Russian Federation,2024,RUS,53.594
Rwanda,2024,RWA,51.217
Samoa,2024,WSM,49.640
San Marino,2024,SMR,50.829
Sao Tome and Principe,2024,STP,50.293
Saudi Arabia,2024,SAU,39.465
Senegal,2024,SEN,49.167
Serbia,2024,SRB,52.558
Seychelles,2024,SYC,44.836
Sierra Leone,2024,SLE,50.128
Singapore,2024,SGP,48.333
Sint Maarten (Dutch part),2024,SXM,51.337
Slovak Republic,2024,SVK,51.180
Slovenia,2024,SVN,49.754
Solomon Islands,2024,SLB,48.871
Somalia,2024,SOM,49.904
South Africa,2024,ZAF,51.329
South Sudan,2024,SSD,50.815
Spain,2024,ESP,50.904
Sri Lanka,2024,LKA,51.620
St. Kitts and Nevis,2024,KNA,52.132
St. Lucia,2024,LCA,50.628
St. Martin (French part),2024,MAF,53.500
St. Vincent and the Grenadines,2024,VCT,49.078
Sudan,2024,SDN,50.420
Suriname,2024,SUR,50.046
Sweden,2024,SWE,49.634
Switzerland,2024,CHE,50.322
Syrian Arab Republic,2024,SYR,49.981
Tajikistan,2024,TJK,50.864
Tanzania,2024,TZA,50.433
Thailand,2024,THA,51.310
Timor-Leste,2024,TLS,49.585
Togo,2024,TGO,49.668
Tonga,2024,TON,52.759
Trinidad and Tobago,2024,TTO,50.565
Tunisia,2024,TUN,50.571
Turkiye,2024,TUR,50.086
Turkmenistan,2024,TKM,50.922
Turks and Caicos Islands,2024,TCA,49.950
Tuvalu,2024,TUV,48.834
Uganda,2024,UGA,50.405
Ukraine,2024,UKR,53.518
United Arab Emirates,2024,ARE,36.099
United Kingdom,2024,GBR,50.759
United States,2024,USA,49.757
Uruguay,2024,URY,51.498
Uzbekistan,2024,UZB,49.552
Vanuatu,2024,VUT,49.519
"Venezuela, RB",2024,VEN,50.595
Vietnam,2024,VNM,51.022
Virgin Islands (U.S.),2024,VIR,52.397
West Bank and Gaza,2024,PSE,50.356
"Yemen, Rep.",2024,YEM,49.343
Zambia,2024,ZMB,50.503
Zimbabwe,2024,ZWE,52.333
